source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,135320,190000.0,74.0,4.0,13.0,18.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,7174,3784,4673,9136,5840,127,8,6,2,6,3,0,0,5,0,0,0,2,0,0,0,0
bars,4-3-1334,185000.0,100.0,3.0,2.0,14.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,"(40.21198605, 44.5046635)",3022,11061,3907,7399,3527,1882,7627,1,1,1,0,1,0,0,2,1,0,1,0,0,0,0,0
myrealty,124933,200000.0,90.0,4.0,5.0,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(40.1906722427931, 44.46234708546167)",4510,6769,2564,7871,7521,2767,5465,4,7,1,12,1,1,1,1,0,0,1,0,0,0,0,0
bars,1-N-320,350000.0,75.0,3.0,6.0,10.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"(40.18489525304254, 44.525275644939626)",873,11204,3193,3964,3542,3006,5566,2,11,1,1,6,1,0,1,0,0,12,0,0,2,0,0
myrealty,134405,325000.0,100.0,3.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
myrealty,137933,165000.0,95.0,3.0,4.0,5.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.2061998983339, 44.57111460185527)",5261,15685,7640,6740,2226,6643,9945,2,0,0,5,1,0,1,2,0,0,0,1,0,0,0,0
bars,1-3-1912,120000.0,85.0,3.0,2.0,4.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"(40.15477242139723, 44.45609932611657)",6097,4733,3857,7051,9985,5705,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bnakaran,d117460,162000.00000000003,89.0,3.0,7.0,10.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.204558624735, 44.530791)",2457,12501,4576,6017,1575,3246,7652,4,6,0,1,6,1,2,4,1,1,2,1,0,11,0,0
bars,6-Ðž-117,105000.0,102.0,4.0,5.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.20656139447395, 44.47143471084086)",4356,8527,3378,8443,6382,2162,6963,4,10,4,7,0,1,1,2,0,0,0,4,0,0,0,0
bars,6-D4-101,270000.0,104.0,4.0,2.0,15.0,2.0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bars,1-3-2008,200000.00000000003,96.6,3.0,3.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"(40.17699785, 44.5273774)",1446,11125,3314,3073,4253,3634,5017,1,2,0,0,4,0,1,5,0,0,3,1,0,0,0,0
bars,2-3-163,183000.0,78.0,3.0,6.0,10.0,1.0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,"(40.16673885182096, 44.5139565495713)",2143,9774,2565,2763,5773,3800,3404,8,5,2,2,4,0,0,1,1,0,0,1,0,0,0,0
bars,1-N-387,460000.0,120.0,3.0,9.0,10.0,2.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,"(40.19066524195801, 44.52381655212627)",904,11312,3267,4614,3079,2653,6023,2,8,1,0,5,0,0,0,0,0,18,1,0,5,0,0
bars,2-3-154,276000.0,110.0,3.0,13.0,21.0,2.0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,"(40.1815899567878, 44.48269187331872)",2795,7706,562,5876,6392,1978,4086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myrealty,139981,225000.0,51.0,2.0,5.0,11.0,1.0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,"(40.18475498588536, 44.5074118246583)",666,9774,1728,4627,4509,1807,4793,5,9,4,4,9,5,1,2,2,0,2,2,0,4,0,0
myrealty,142267,242500.0,51.0,2.0,8.0,15.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.177015330930764, 44.519048808509375)",1054,10441,2609,3367,4565,3108,4549,7,10,2,5,10,1,0,2,0,1,0,0,1,0,0,0
bnakaran,d111713,108000.0,60.0,2.0,11.0,18.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.18046, 44.509842)",760,9804,1822,4119,4710,2311,4447,7,17,6,2,7,3,0,3,0,2,1,4,0,3,0,0
bnakaran,d117365,136000.0,90.0,3.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"(40.158427155871, 44.511631137571)",3080,9469,3026,2467,6686,4574,2656,2,2,0,1,1,0,0,6,0,0,0,0,0,0,0,0
myrealty,125086,185000.0,176.0,4.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.19625664909909, 44.4672332201912)",4221,7485,2625,7913,6943,2257,5923,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0
bnakaran,d116423,170000.0,67.0,3.0,10.0,14.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,9963,2079,3734,4774,2696,4324,1,16,0,4,14,1,0,1,0,0,0,0,1,0,0,0
myrealty,124763,158000.0,64.0,2.0,12.0,14.0,1.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,"(40.17429211194108, 44.50409202665325)",1602,9136,1431,3946,5549,2697,3615,3,6,1,1,3,0,0,2,0,0,0,1,0,0,0,0
myrealty,142382,255000.00000000003,208.0,6.0,3.0,3.0,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,"(40.19180365, 44.5308931)",1489,11917,3871,4609,2638,3209,6467,1,2,2,2,6,1,2,0,0,0,2,0,0,7,0,0
myrealty,125183,150000.00000000003,105.0,3.0,10.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(40.19293930149094, 44.49141207406966)",2154,8949,1559,6183,5133,518,5360,5,0,2,8,3,1,0,1,0,0,1,0,0,2,0,0
myrealty,136173,81999.99999999999,30.0,1.0,3.0,4.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
bars,1-3-2097,270000.0,92.0,3.0,6.0,8.0,2.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,"(40.183781674798254, 44.505052000470215)",887,9548,1502,4660,4730,1776,4619,3,6,3,2,6,2,1,2,1,1,1,2,0,0,0,0
bnakaran,d115369,248000.0000000001,90.0,2.0,7.0,17.0,2.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"(40.205860599636, 44.506566269836)",2324,10801,3349,6710,3444,1448,7001,1,3,6,2,6,0,5,2,0,0,0,2,0,1,0,0
bars,1-N-379,185000.0,135.0,4.0,4.0,12.0,2.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,"(40.17890785, 44.5247969)",1141,10968,3087,3347,4149,3331,5023,1,6,0,0,7,1,1,0,0,0,7,1,0,0,0,0
bars,2-1-47,143000.0,45.0,1.0,3.0,3.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,"(40.17429211194108, 44.50409202665325)",1602,9136,1431,3946,5549,2697,3615,3,6,1,1,3,0,0,2,0,0,0,1,0,0,0,0
myrealty,133907,155000.0,40.0,2.0,3.0,4.0,1.0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,"(40.16624129129846, 44.51488777979646)",2197,9843,2662,2666,5785,3885,3422,7,4,4,2,4,0,0,5,1,0,0,2,0,2,0,0
myrealty,138158,102000.0,63.0,2.0,2.0,5.0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bars,6-D2-67,116999.99999999996,70.0,2.0,11.0,16.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bnakaran,d117915,297000.0,122.0,3.0,8.0,15.0,2.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"(40.17787, 44.512879)",923,9963,2079,3734,4774,2696,4324,1,16,0,4,14,1,0,1,0,0,0,0,1,0,0,0
myrealty,138807,240000.0,81.0,3.0,3.0,4.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"(40.183313571671, 44.51181945133735)",407,10067,2039,4285,4361,2178,4806,11,23,5,5,6,5,0,4,0,1,1,4,0,5,0,0
bars,4-3-1329,160000.0,90.0,3.0,4.0,14.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"(40.20385877909912, 44.4979285663246)",2463,10068,2868,6850,4209,815,6633,10,8,3,3,1,1,0,2,0,1,0,0,0,0,0,0
bnakaran,d117371,120000.0,94.0,4.0,6.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,"(40.206065416625, 44.538526804258)",2990,13162,5203,6145,963,3924,8140,5,0,1,2,1,0,1,2,0,0,0,1,0,0,0,0
myrealty,142541,125000.0,80.0,3.0,8.0,9.0,1.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,"(40.128877761326684, 44.53061570081314)",6487,11362,6634,2537,9386,8220,4202,1,2,1,0,5,0,1,2,0,0,0,0,0,0,0,0
myrealty,140646,169000.0,50.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.1767382062846, 44.51344849450384)",1039,9975,2139,3605,4848,2826,4245,3,19,1,4,13,0,0,3,0,0,1,0,1,0,0,0
myrealty,142259,87000.0,54.0,2.0,14.0,18.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bars,4-3-1434,295000.0,105.0,3.0,3.0,5.0,2.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
bnakaran,d107838,580000.0,159.0,4.0,8.0,9.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.166573336966, 44.521657748686)",2231,10417,3145,2285,5510,4151,3880,1,0,3,5,0,0,1,6,1,0,0,2,0,0,0,0
myrealty,124140,211500.0,72.0,3.0,7.0,10.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,7174,3784,4673,9136,5840,127,8,6,2,6,3,0,0,5,0,0,0,2,0,0,0,0
myrealty,135290,115000.0,88.0,3.0,6.0,14.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"(40.22014872768015, 44.56943866977043)",5976,16213,8254,8135,2150,6911,10972,3,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0
myrealty,137225,204000.0,110.0,4.0,4.0,5.0,1.0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,138773,145000.0,60.0,2.0,4.0,16.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(40.140887872078665, 44.493826561382456)",5331,8033,4273,3986,9116,6266,812,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
myrealty,140922,355000.0,106.0,3.0,5.0,5.0,2.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,"(40.183313571671, 44.51181945133735)",407,10067,2039,4285,4361,2178,4806,11,23,5,5,6,5,0,4,0,1,1,4,0,5,0,0
bnakaran,d117252,159000.0,57.0,3.0,10.0,10.0,1.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"(40.164988496793, 44.512715033065)",2345,9640,2590,2727,5995,3930,3192,8,1,4,2,2,0,2,1,1,0,0,1,0,2,0,0
myrealty,138318,230000.0,112.0,3.0,4.0,13.0,2.0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
bars,1-B-120,255000.0,58.0,2.0,15.0,13.0,1.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,10380,2585,3295,4674,3162,4445,5,9,1,4,7,1,0,2,0,1,1,0,1,0,0,0
bars,6-Ach-118,115000.0,80.0,3.0,3.0,16.0,1.0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,"(40.117706, 44.43443755)",10230,4808,8227,9612,14183,10180,5315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bars,4-3-1339,160000.0,96.3,3.0,3.0,12.0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"(40.20019725, 44.52733885)",1890,12020,4050,5579,2102,2869,7086,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0
myrealty,99677,460000.0,92.0,2.0,10.0,17.0,1.0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,"(40.20241187184684, 44.51959732658925)",1864,11551,3703,5968,2519,2266,7006,4,2,2,1,2,0,2,3,0,0,0,1,0,0,0,0
myrealty,127733,306000.0,75.0,2.0,2.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,10380,2585,3295,4674,3162,4445,5,9,1,4,7,1,0,2,0,1,1,0,1,0,0,0
